model,fold_id,uf,onset_week_error,peak_timing_error,peak_magnitude_error,total_cases_error
climatological_quantile,1,AC,0.0,-6,-0.7801585575495751,-0.10700448033056664
climatological_quantile,1,AL,0.0,7,0.4745943029543345,0.8532437392719802
climatological_quantile,1,AM,0.0,0,-0.45923153226382446,-0.2573046223039099
climatological_quantile,1,AP,-12.0,-19,-2.1000608288825715,-0.2423830581895829
climatological_quantile,1,BA,6.0,-1,0.05270540572830676,-0.2454298230579913
climatological_quantile,1,CE,0.0,0,0.6271562263420591,0.5095406592391123
climatological_quantile,1,DF,12.0,3,-0.5548632219076282,-0.9830005445764741
climatological_quantile,1,GO,0.0,2,0.14755869814510542,0.13279513484215086
climatological_quantile,1,MA,0.0,5,-0.7200546334798696,-0.1554793188322497
climatological_quantile,1,MG,-1.0,1,-2.0311947081404504,-1.7673119097479972
climatological_quantile,1,MS,5.0,1,-1.4618440560272088,-1.3329000249891425
climatological_quantile,1,MT,-1.0,-7,-1.0498221244986778,-0.7251504870846752
climatological_quantile,1,PA,0.0,-1,-0.1888362378151483,0.07099457302253163
climatological_quantile,1,PB,0.0,6,-0.32255089810260484,0.2787134024690205
climatological_quantile,1,PE,0.0,6,0.11232918497391972,0.637025393719015
climatological_quantile,1,PI,1.0,7,-0.9185869441345053,-0.27271919977506853
climatological_quantile,1,PR,-3.0,-1,-2.0693529436924507,-1.9202954524899734
climatological_quantile,1,RJ,-4.0,3,-0.7559394121181499,-0.5661199356555849
climatological_quantile,1,RN,1.0,3,0.24057760326430747,0.7248185243975968
climatological_quantile,1,RO,0.0,7,-2.4849066497880004,-1.5995852468953973
climatological_quantile,1,RR,-1.0,0,-0.2732933349996813,1.1107336492004545
climatological_quantile,1,RS,-8.0,-1,-4.155547608811243,-4.09976462969144
climatological_quantile,1,SC,-20.0,-1,-6.5780077491720474,-6.014002367455753
climatological_quantile,1,SE,0.0,-3,-1.0599974525403302,-0.8240828240336502
climatological_quantile,1,SP,0.0,-2,-0.8774427091198094,-0.8007354058046675
climatological_quantile,1,TO,3.0,-2,0.22134012431505898,0.445586363229872
climatological_quantile,2,AC,-3.0,8,-2.3924800971105937,-0.8707570621414118
climatological_quantile,2,AL,-16.0,-6,-0.9377310631120244,-0.5324593581332147
climatological_quantile,2,AM,-1.0,3,-1.3878175906604122,-0.7202300795745072
climatological_quantile,2,AP,-12.0,8,-3.5263605246161616,-2.704312047358339
climatological_quantile,2,BA,-16.0,2,-2.456528652006993,-1.8970086387105074
climatological_quantile,2,CE,-14.0,4,-0.08926109672364525,0.6544289885973138
climatological_quantile,2,DF,3.0,9,-4.183972908558995,-3.066126338280393
climatological_quantile,2,GO,-12.0,3,-1.8683327163729002,-1.5414671476765416
climatological_quantile,2,MA,-16.0,3,-1.7071250840873458,-0.8977689212758786
climatological_quantile,2,MG,0.0,6,-3.6870515972181805,-3.160837369469861
