model,fold_id,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
lgbm_quantile,1,352.2289194779794,214.83953186759345,4.9548135687788,132.43457404160714,651.5407879577839,0.5451183431952663,0.8809171597633136,0.9615384615384616,0.9837278106508875
climatological_quantile,1,386.1662121959237,202.3182790927022,2.2172707100591715,181.6306623931624,795.2444526627219,0.47337278106508873,0.7374260355029586,0.8017751479289941,0.8387573964497042
seasonal_naive,1,500.39082223865876,183.39275353385932,8.971112754766601,308.02695595003286,787.7699704142012,0.4208579881656805,0.8254437869822485,0.9119822485207101,0.9497041420118343
naive,1,726.1453548241288,284.1637760930309,135.9261217948718,306.0554569362262,1220.0739644970415,0.28106508875739644,0.6131656804733728,0.75,0.8121301775147929
lgbm_quantile,2,3326.907212054028,602.6517208254335,3.35238682294935,2720.9031044056455,4119.269931501856,0.4326923076923077,0.6605029585798816,0.7440828402366864,0.7921597633136095
climatological_quantile,2,3588.2651647764633,625.8762717784352,0.850550624589086,2961.5383423734393,4559.32100591716,0.40088757396449703,0.5939349112426036,0.6738165680473372,0.7034023668639053
naive,2,3833.4457518696586,663.2415276750493,45.467743261012494,3124.736480933597,4624.9996301775145,0.3720414201183432,0.6708579881656804,0.7403846153846154,0.8165680473372781
seasonal_naive,2,3847.9630116905,605.8298797049638,2.351397107166338,3239.78173487837,4547.70525147929,0.4171597633136095,0.6960059171597633,0.7751479289940828,0.8298816568047337
climatological_quantile,3,516.125436493261,282.7905375780736,2.5607289612097306,230.77416995397763,940.5965236686391,0.5177514792899408,0.8150887573964497,0.9334319526627219,0.9585798816568047
seasonal_naive,3,581.457471030572,236.4731761587771,11.219526627218935,333.7647682445761,937.123150887574,0.4556213017751479,0.8409763313609467,0.9363905325443787,0.9748520710059172
lgbm_quantile,3,643.9442032575597,192.4411163812756,1.1514233435440084,450.3516635327401,943.8270317904064,0.5295857988165681,0.8742603550295858,0.9615384615384616,0.9874260355029586
naive,3,1055.7196622287968,404.49746055226825,593.361978139382,57.860223537146624,1667.1431213017752,0.38461538461538464,0.7818047337278107,0.8431952662721893,0.8890532544378699
climatological_quantile,4,174.23637286324785,149.9680339557785,2.967131178000743,21.301207729468597,236.69397993311037,0.5585284280936454,0.8612040133779264,0.9431438127090301,0.9581939799331104
seasonal_naive,4,206.12480258268297,166.36420243403933,28.890942028985506,10.869658119658121,259.1279264214047,0.568561872909699,0.8779264214046822,0.9364548494983278,0.9682274247491639
naive,4,255.10961515235965,239.2317816332218,7.3950204384987,8.482813080639168,274.3361204013378,0.7809364548494984,0.9381270903010034,0.9866220735785953,0.9899665551839465
lgbm_quantile,4,338.4249788609741,184.8550311792733,147.89814030620735,5.671807375493455,542.2766581946393,0.560200668896321,0.8160535117056856,0.919732441471572,0.9715719063545151
