model,fold_id,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
lgbm_quantile,1,351.618472999717,220.52941455751724,6.259677922661728,124.82938051953809,651.2872577869306,0.5170118343195266,0.8942307692307693,0.9659763313609467,0.9844674556213018
climatological_quantile,1,386.1662121959237,202.3182790927022,2.2172707100591715,181.6306623931624,795.2444526627219,0.47337278106508873,0.7374260355029586,0.8017751479289941,0.8387573964497042
seasonal_naive,1,500.39082223865876,183.39275353385932,8.971112754766601,308.02695595003286,787.7699704142012,0.4208579881656805,0.8254437869822485,0.9119822485207101,0.9497041420118343
naive,1,726.1453548241288,284.1637760930309,135.9261217948718,306.0554569362262,1220.0739644970415,0.28106508875739644,0.6131656804733728,0.75,0.8121301775147929
lgbm_quantile,2,3331.8865727714965,602.668019774712,3.527161146028128,2725.6913918507566,4125.614984181891,0.4282544378698225,0.6590236686390533,0.7418639053254438,0.7899408284023669
climatological_quantile,2,3588.2651647764633,625.8762717784352,0.8505506245890863,2961.5383423734393,4559.32100591716,0.40088757396449703,0.5939349112426036,0.6738165680473372,0.7034023668639053
naive,2,3833.4457518696586,663.2415276750493,45.467743261012494,3124.736480933597,4624.9996301775145,0.3720414201183432,0.6708579881656804,0.7403846153846154,0.8165680473372781
seasonal_naive,2,3847.9630116905,605.8298797049638,2.351397107166338,3239.78173487837,4547.70525147929,0.4171597633136095,0.6960059171597633,0.7751479289940828,0.8298816568047337
climatological_quantile,3,516.125436493261,282.7905375780736,2.5607289612097306,230.77416995397763,940.5965236686391,0.5177514792899408,0.8150887573964497,0.9334319526627219,0.9585798816568047
seasonal_naive,3,581.457471030572,236.4731761587771,11.219526627218935,333.7647682445761,937.123150887574,0.4556213017751479,0.8409763313609467,0.9363905325443787,0.9748520710059172
lgbm_quantile,3,664.5674948905224,186.56719959312906,1.1691174196906866,476.8311778777026,942.9719387776396,0.5295857988165681,0.8779585798816568,0.9615384615384616,0.9770710059171598
naive,3,1055.7196622287968,404.49746055226825,593.361978139382,57.860223537146624,1667.1431213017752,0.38461538461538464,0.7818047337278107,0.8431952662721893,0.8890532544378699
naive,4,266.35032191857846,225.34633518893384,13.102665317139001,27.901321412505627,340.4514170040486,0.6831983805668016,0.881578947368421,0.944331983805668,0.9746963562753036
seasonal_naive,4,293.3987516869095,189.38530139451186,83.36930949167792,20.644140800719754,424.21356275303646,0.43724696356275305,0.7631578947368421,0.8603238866396761,0.9483805668016194
climatological_quantile,4,308.8740789473684,280.42519230769227,10.69193657219973,17.75695006747638,411.3512145748988,0.5617408906882592,0.8562753036437247,0.9321862348178138,0.9554655870445344
lgbm_quantile,4,692.7920394634388,377.0375278549902,309.60020100536855,6.154310603080014,1391.9617376180515,0.4382591093117409,0.7338056680161943,0.888663967611336,0.9625506072874493
